id_flux,date_reception,type_document,id_adherent,id_contrat,collectivite,statut_flux,statut_ged,date_production,date_depot_ged,mode_envoi,batch_id,duree_traitement_sec
FLX-00056,2024-02-09 11:14:43,RELEVÉ_PRESTATIONS,ADH-355745,CTR-14254970,Conseil Départemental de la Gironde,ERREUR_FORMAT,NON_APPLICABLE,,,COURRIER_POSTAL,BATCH-20240320-02,
FLX-00057,2024-03-03 10:09:23,COURRIER_ADHESION,ADH-472332,CTR-66986125,Mairie de Paris,TRAITE,DEPOSE,2024-03-03 10:36:03,2024-03-03 10:47:34,DEMATERIALISE,BATCH-20240320-02,43.0
FLX-00058,2024-02-05 02:21:53,COURRIER_ADHESION,ADH-585119,CTR-26482429,Pompiers de Marseille,TRAITE,DEPOSE,2024-02-05 03:21:08,2024-02-05 04:25:57,DEMATERIALISE,BATCH-20240320-02,61.0
FLX-00059,2024-01-29 23:15:57,COURRIER_ADHESION,ADH-378496,CTR-99760973,Conseil Régional de Bretagne,ERREUR_FORMAT,NON_APPLICABLE,,,COURRIER_POSTAL,BATCH-20240320-02,
FLX-00060,2024-01-18 03:00:04,COURRIER_ADHESION,ADH-750009,CTR-39944893,Mairie de Lyon,TRAITE,DEPOSE,2024-01-18 03:57:16,2024-01-18 05:14:48,DEMATERIALISE,BATCH-20240320-02,132.0
FLX-00061,2024-01-17 21:47:40,CARTE_ADHERENT,ADH-359291,CTR-25697178,EHPAD Les Magnolias,ERREUR_FORMAT,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240320-02,
FLX-00062,2024-01-15 19:27:52,COURRIER_ADHESION,ADH-538866,CTR-86384309,SDIS 75,TRAITE,DEPOSE,2024-01-15 19:36:35,2024-01-15 19:41:37,COURRIER_POSTAL,BATCH-20240320-02,132.0
FLX-00063,2024-02-12 04:49:09,RELANCE,ADH-503562,CTR-61969547,Conseil Départemental de la Gironde,TRAITE,DEPOSE,2024-02-12 04:57:19,2024-02-12 05:23:00,DEMATERIALISE,BATCH-20240212-03,117.0
FLX-00064,2024-03-21 18:48:36,CARTE_ADHERENT,ADH-780516,CTR-15931143,Hôpital Saint-Louis,TRAITE,DEPOSE,2024-03-21 18:50:21,2024-03-21 19:44:31,DEMATERIALISE,BATCH-20240212-03,84.0
FLX-00065,2024-02-08 23:01:56,COURRIER_ADHESION,ADH-155904,CTR-65011657,SDIS 75,TRAITE,DEPOSE,2024-02-08 23:13:34,2024-02-09 00:09:00,DEMATERIALISE,BATCH-20240212-03,103.0
FLX-00066,2024-01-05 06:18:41,CARTE_ADHERENT,ADH-378252,CTR-59945743,CCAS de Bordeaux,TRAITE,DEPOSE,2024-01-05 06:54:10,2024-01-05 07:23:52,DEMATERIALISE,BATCH-20240212-03,85.0
FLX-00067,2024-01-31 22:33:43,COURRIER_ADHESION,ADH-622247,CTR-51516313,Conseil Départemental de la Gironde,TRAITE,DEPOSE,2024-01-31 22:37:08,2024-01-31 22:38:59,COURRIER_POSTAL,BATCH-20240212-03,95.0
FLX-00068,2024-01-03 00:11:39,RELANCE,ADH-889285,CTR-51439367,EHPAD Les Tilleuls,EN_ATTENTE_DONNEES,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240212-03,
FLX-00069,2024-03-29 16:23:06,COURRIER_ADHESION,ADH-446300,CTR-56456296,Mairie de Lyon,TRAITE,ECHEC_DEPOT,2024-03-29 17:14:30,,DEMATERIALISE,BATCH-20240212-03,12.0
FLX-00070,2024-03-21 00:18:41,RELEVÉ_PRESTATIONS,ADH-366320,CTR-25762220,Pompiers de Marseille,RECU,NON_APPLICABLE,,,COURRIER_POSTAL,BATCH-20240212-03,
FLX-00071,2024-01-26 16:03:40,RELANCE,ADH-724747,CTR-29848924,Conseil Départemental du Nord,TRAITE,DEPOSE,2024-01-26 16:53:05,2024-01-26 17:49:29,COURRIER_POSTAL,BATCH-20240212-03,44.0
FLX-00072,2024-02-12 03:57:06,COURRIER_ADHESION,ADH-519136,CTR-54163923,Conseil Départemental du Nord,TRAITE,DEPOSE,2024-02-12 04:42:27,2024-02-12 04:48:38,DEMATERIALISE,BATCH-20240212-03,51.0
FLX-00073,2024-03-08 09:19:37,COURRIER_ADHESION,ADH-285922,CTR-18742608,Mairie de Lyon,ERREUR_DONNEES,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240212-03,
FLX-00074,2024-02-23 02:32:45,RELANCE,ADH-237901,CTR-79248914,Mairie de Paris,TRAITE,DEPOSE,2024-02-23 03:12:50,2024-02-23 03:24:11,DEMATERIALISE,BATCH-20240212-03,157.0
FLX-00075,2024-02-23 07:33:28,APPEL_COTISATION,ADH-223225,CTR-22213648,Conseil Départemental du Nord,RECU,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240212-03,
FLX-00076,2024-03-01 17:06:32,APPEL_COTISATION,ADH-593406,CTR-38394342,Pompiers de Marseille,EN_TRAITEMENT,EN_ATTENTE_DEPOT,2024-03-01 17:34:31,,DEMATERIALISE,BATCH-20240212-03,63.0
FLX-00077,2024-01-11 03:46:26,RELANCE,ADH-860135,CTR-16830971,EHPAD Les Tilleuls,EN_TRAITEMENT,EN_ATTENTE_DEPOT,2024-01-11 04:40:10,,DEMATERIALISE,BATCH-20240212-03,72.0
FLX-00078,2024-03-22 07:32:11,COURRIER_ADHESION,ADH-321738,CTR-38718528,SDIS 75,TRAITE,DEPOSE,2024-03-22 07:53:10,2024-03-22 09:06:13,DEMATERIALISE,BATCH-20240212-03,359.0
FLX-00079,2024-01-29 17:15:02,CARTE_ADHERENT,ADH-735181,CTR-28298483,EHPAD Les Magnolias,TRAITE,DEPOSE,2024-01-29 17:59:42,2024-01-29 18:29:06,COURRIER_POSTAL,BATCH-20240212-03,92.0
FLX-00080,2024-02-18 18:23:07,COURRIER_ADHESION,ADH-960359,CTR-10361116,CCAS de Bordeaux,TRAITE,DEPOSE,2024-02-18 18:27:20,2024-02-18 19:15:20,DEMATERIALISE,BATCH-20240212-03,59.0
FLX-00081,2024-01-20 07:52:07,INDU,ADH-578076,CTR-30792589,Mairie de Toulouse,TRAITE,DEPOSE,2024-01-20 07:58:59,2024-01-20 09:10:59,DEMATERIALISE,BATCH-20240212-03,80.0
FLX-00082,2024-01-18 03:50:30,APPEL_COTISATION,ADH-342726,CTR-82805392,Conseil Régional de Bretagne,TRAITE,DEPOSE,2024-01-18 04:21:44,2024-01-18 05:39:16,DEMATERIALISE,BATCH-20240212-03,132.0
FLX-00083,2024-01-10 10:47:21,COURRIER_ADHESION,ADH-402811,CTR-10451420,Mairie de Toulouse,TRAITE,DEPOSE,2024-01-10 11:11:10,2024-01-10 12:28:05,DEMATERIALISE,BATCH-20240212-03,69.0
FLX-00084,2024-01-10 01:00:31,COURRIER_ADHESION,ADH-821202,CTR-54442081,Mairie de Paris,EN_TRAITEMENT,EN_ATTENTE_DEPOT,2024-01-10 01:42:14,,DEMATERIALISE,BATCH-20240212-03,104.0
FLX-00085,2024-02-17 12:13:58,COURRIER_ADHESION,ADH-529059,CTR-33686362,Conseil Départemental du Nord,TRAITE,DEPOSE,2024-02-17 12:35:28,2024-02-17 13:17:14,DEMATERIALISE,BATCH-20240212-03,21.0
FLX-00086,2024-03-13 13:24:09,COURRIER_ADHESION,ADH-806168,CTR-44377022,SDIS 75,EN_TRAITEMENT,EN_ATTENTE_DEPOT,2024-03-13 13:53:02,,COURRIER_POSTAL,BATCH-20240212-03,8.0
FLX-00087,2024-02-04 01:35:52,APPEL_COTISATION,ADH-523759,CTR-60799853,EHPAD Les Magnolias,TRAITE,DEPOSE,2024-02-04 02:15:50,2024-02-04 02:54:02,DEMATERIALISE,BATCH-20240212-03,21.0
FLX-00088,2024-03-07 08:34:24,APPEL_COTISATION,ADH-565996,CTR-40948896,CCAS de Bordeaux,TRAITE,DEPOSE,2024-03-07 09:28:02,2024-03-07 10:18:12,DEMATERIALISE,BATCH-20240212-03,5.0
FLX-00089,2024-03-17 15:37:04,INDU,ADH-106611,CTR-36206310,Conseil Départemental de la Gironde,ERREUR_DONNEES,NON_APPLICABLE,,,COURRIER_POSTAL,BATCH-20240317-04,
FLX-00090,2024-02-28 10:12:11,CARTE_ADHERENT,ADH-450386,CTR-11136045,Conseil Départemental de la Gironde,EN_TRAITEMENT,EN_ATTENTE_DEPOT,2024-02-28 10:26:26,,DEMATERIALISE,BATCH-20240317-04,24.0
FLX-00091,2024-01-01 08:05:46,COURRIER_ADHESION,ADH-971044,CTR-55840013,EHPAD Les Tilleuls,TRAITE,DEPOSE,2024-01-01 08:15:28,2024-01-01 09:13:53,COURRIER_POSTAL,BATCH-20240317-04,11.0
FLX-00092,2024-03-10 19:40:55,APPEL_COTISATION,ADH-933334,CTR-84977518,SDIS 75,TRAITE,DEPOSE,2024-03-10 20:35:06,2024-03-10 20:40:56,DEMATERIALISE,BATCH-20240317-04,96.0
FLX-00093,2024-03-19 17:07:01,RELANCE,ADH-871812,CTR-96010500,SDIS 75,TRAITE,DEPOSE,2024-03-19 17:10:20,2024-03-19 18:20:42,DEMATERIALISE,BATCH-20240317-04,174.0
FLX-00094,2024-02-23 16:26:48,APPEL_COTISATION,ADH-395187,CTR-89451700,Hôpital Saint-Louis,TRAITE,DEPOSE,2024-02-23 16:59:19,2024-02-23 17:39:02,DEMATERIALISE,BATCH-20240317-04,100.0
FLX-00095,2024-02-06 23:37:13,RELANCE,ADH-236343,CTR-77911581,Mairie de Lyon,RECU,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240206-05,
FLX-00096,2024-02-29 04:38:38,CARTE_ADHERENT,ADH-959299,CTR-52161015,Conseil Départemental de la Gironde,TRAITE,DEPOSE,2024-02-29 05:36:48,2024-02-29 05:52:45,DEMATERIALISE,BATCH-20240206-05,593.0
FLX-00097,2024-02-21 02:14:08,CARTE_ADHERENT,ADH-439233,CTR-37784447,Conseil Départemental de la Gironde,ERREUR_DONNEES,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240221-06,
FLX-00098,2024-03-07 16:42:55,CARTE_ADHERENT,ADH-945177,CTR-48821448,Conseil Régional de Bretagne,EN_ATTENTE_DONNEES,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240221-06,
FLX-00099,2024-02-25 14:51:13,COURRIER_ADHESION,ADH-590092,CTR-65503834,Hôpital Saint-Louis,ERREUR_FORMAT,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240221-06,
FLX-00100,2024-01-31 12:20:49,COURRIER_ADHESION,ADH-290191,CTR-63908379,Conseil Départemental de la Gironde,RECU,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240221-06,
FLX-00101,2024-01-07 15:20:21,COURRIER_ADHESION,ADH-766933,CTR-66123241,Conseil Régional de Bretagne,TRAITE,DEPOSE,2024-01-07 16:12:23,2024-01-07 17:47:09,DEMATERIALISE,BATCH-20240221-06,101.0
FLX-00102,2024-01-19 19:17:00,APPEL_COTISATION,ADH-776769,CTR-70257049,Mairie de Toulouse,TRAITE,DEPOSE,2024-01-19 19:51:00,2024-01-19 20:57:08,DEMATERIALISE,BATCH-20240221-06,171.0
FLX-00103,2024-02-10 07:36:01,COURRIER_ADHESION,ADH-972402,CTR-74127651,SDIS 75,EN_ATTENTE_DONNEES,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240221-06,
FLX-00104,2024-01-14 20:02:40,CARTE_ADHERENT,ADH-386608,CTR-13426695,Conseil Départemental du Nord,ERREUR_DONNEES,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240221-06,
FLX-00105,2024-01-30 21:38:58,RELEVÉ_PRESTATIONS,ADH-349220,CTR-20823313,EHPAD Les Tilleuls,EN_ATTENTE_DONNEES,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240221-06,
FLX-00106,2024-02-24 17:43:58,COURRIER_ADHESION,ADH-536056,CTR-45755833,EHPAD Les Magnolias,ERREUR_FORMAT,NON_APPLICABLE,,,COURRIER_POSTAL,BATCH-20240221-06,
FLX-00107,2024-01-25 10:30:00,CARTE_ADHERENT,ADH-742811,CTR-86571900,Conseil Régional de Bretagne,TRAITE,DEPOSE,2024-01-25 10:37:01,2024-01-25 12:36:30,DEMATERIALISE,BATCH-20240221-06,37.0
FLX-00108,2024-02-20 16:43:20,RELANCE,ADH-644950,CTR-34154783,Conseil Régional de Bretagne,TRAITE,DEPOSE,2024-02-20 17:08:17,2024-02-20 17:30:15,DEMATERIALISE,BATCH-20240221-06,172.0
FLX-00109,2024-01-01 11:12:26,COURRIER_ADHESION,ADH-904660,CTR-13304623,CCAS de Bordeaux,EN_ATTENTE_DONNEES,NON_APPLICABLE,,,COURRIER_POSTAL,BATCH-20240221-06,
FLX-00110,2024-01-21 22:50:49,COURRIER_ADHESION,ADH-685009,CTR-92418129,Pompiers de Marseille,TRAITE,DEPOSE,2024-01-21 22:52:20,2024-01-22 00:17:22,DEMATERIALISE,BATCH-20240221-06,160.0
FLX-00111,2024-02-29 12:34:05,COURRIER_ADHESION,ADH-762746,CTR-82601152,Conseil Régional de Bretagne,ERREUR_FORMAT,NON_APPLICABLE,,,COURRIER_POSTAL,BATCH-20240221-06,
FLX-00112,2024-01-10 20:38:52,COURRIER_ADHESION,ADH-893294,CTR-93649585,Mairie de Lyon,EN_ATTENTE_DONNEES,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240221-06,
FLX-00113,2024-02-04 15:39:07,RELEVÉ_PRESTATIONS,ADH-664396,CTR-34542035,EHPAD Les Tilleuls,TRAITE,DEPOSE,2024-02-04 15:41:21,2024-02-04 17:35:39,DEMATERIALISE,BATCH-20240221-06,160.0
FLX-00114,2024-02-27 15:03:22,RELANCE,ADH-191788,CTR-46290035,Conseil Départemental de la Gironde,EN_TRAITEMENT,EN_ATTENTE_DEPOT,2024-02-27 15:25:08,,DEMATERIALISE,BATCH-20240221-06,145.0
FLX-00115,2024-01-14 12:36:56,APPEL_COTISATION,ADH-568239,CTR-57280120,EHPAD Les Tilleuls,EN_TRAITEMENT,EN_ATTENTE_DEPOT,2024-01-14 13:08:33,,DEMATERIALISE,BATCH-20240221-06,28.0
FLX-00116,2024-01-16 18:33:35,INDU,ADH-344437,CTR-79009051,Hôpital Saint-Louis,EN_TRAITEMENT,EN_ATTENTE_DEPOT,2024-01-16 19:05:31,,COURRIER_POSTAL,BATCH-20240221-06,176.0
